,ID,trial,system_time,launch_ori,launch_speed,true_pos,straight_pos,click_pos,prediction_error,score,reaction_time,ID_Index
119,1,24,2024-04-20 16:15:19,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-146, -67]",10.45998573306725,98,1374,1 2024-04-20 16_13_52
120,1,25,2024-04-20 16:15:22,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[292, -296]",11.118587078531398,98,1276,1 2024-04-20 16_13_52
121,1,26,2024-04-20 16:15:26,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-100, -298]",15.502862055509349,97,1422,1 2024-04-20 16_13_52
122,1,27,2024-04-20 16:15:29,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[88, -296]",6.508041233308538,98,1261,1 2024-04-20 16_13_52
123,1,28,2024-04-20 16:15:33,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-96, -293]",9.875582416330811,98,1204,1 2024-04-20 16_13_52
124,1,29,2024-04-20 16:15:36,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[291, -291]",17.045207752775767,97,1279,1 2024-04-20 16_13_52
125,1,30,2024-04-20 16:15:39,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-81, 168]",63.371927554555626,89,1109,1 2024-04-20 16_13_52
126,1,31,2024-04-20 16:15:43,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[92, -289]",4.90539845759519,99,1800,1 2024-04-20 16_13_52
127,1,32,2024-04-20 16:15:47,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[325, 134]",3.412165767180354,99,1060,1 2024-04-20 16_13_52
128,1,33,2024-04-20 16:15:51,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-139, -59]",12.58687560747818,97,1160,1 2024-04-20 16_13_52
129,1,34,2024-04-20 16:15:54,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[84, 164]",457.58844820868,60,783,1 2024-04-20 16_13_52
130,1,35,2024-04-20 16:15:58,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-131, 138]",5.515017993502305,99,1139,1 2024-04-20 16_13_52
131,1,36,2024-04-20 16:16:02,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[91, 166]",459.48896025986784,60,902,1 2024-04-20 16_13_52
132,1,37,2024-04-20 16:16:06,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[131, 169]",37.03124267463592,93,1209,1 2024-04-20 16_13_52
133,1,38,2024-04-20 16:16:09,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[333, 127]",13.423365789758616,97,1174,1 2024-04-20 16_13_52
134,1,39,2024-04-20 16:16:12,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-102, -298]",16.495540979336457,97,847,1 2024-04-20 16_13_52
135,1,40,2024-04-20 16:16:16,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[330, 138]",5.55641582335124,99,1033,1 2024-04-20 16_13_52
136,1,41,2024-04-20 16:16:20,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[332, 129]",82.29316201413744,86,1099,1 2024-04-20 16_13_52
137,1,42,2024-04-20 16:16:23,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-144, -59]",38.07757224028056,93,648,1 2024-04-20 16_13_52
138,1,43,2024-04-20 16:16:26,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-136, -65]",31.33111498676633,94,898,1 2024-04-20 16_13_52
139,1,44,2024-04-20 16:16:30,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[329, -63]",9.47933908809314,98,1494,1 2024-04-20 16_13_52
140,1,45,2024-04-20 16:16:33,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[327, -70]",26.447859262933,95,1045,1 2024-04-20 16_13_52
141,1,46,2024-04-20 16:16:36,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[96, -292]",2.487555834102591,99,781,1 2024-04-20 16_13_52
142,1,47,2024-04-20 16:16:39,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-145, 126]",79.40726374969694,86,982,1 2024-04-20 16_13_52
143,1,48,2024-04-20 16:16:42,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-139, -64]",32.42558662011201,94,714,1 2024-04-20 16_13_52
144,1,1,2024-04-26 19:14:22,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-141, -293]",26.17533369473149,95,820,1 2024-04-26 19_14_19
145,1,2,2024-04-26 19:14:25,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[318, 159]",112.13611206177002,81,503,1 2024-04-26 19_14_19
146,1,3,2024-04-26 19:14:28,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[84, 162]",11.40268684833146,98,786,1 2024-04-26 19_14_19
147,1,4,2024-04-26 19:14:32,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[86, 167]",460.5486542527594,60,601,1 2024-04-26 19_14_19
148,1,5,2024-04-26 19:14:35,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[323, 143]",95.96017501926612,84,1001,1 2024-04-26 19_14_19
149,1,6,2024-04-26 19:14:38,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[327, -65]",31.428709268978512,94,517,1 2024-04-26 19_14_19
150,1,7,2024-04-26 19:14:41,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[86, 163]",456.5492630600716,60,534,1 2024-04-26 19_14_19
151,1,8,2024-04-26 19:14:44,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[334, -63]",12.65172726865325,97,487,1 2024-04-26 19_14_19
152,1,9,2024-04-26 19:14:46,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[320, -293]",45.86645389494491,92,418,1 2024-04-26 19_14_19
153,1,10,2024-04-26 19:14:50,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-131, 161]",24.25479490498304,95,980,1 2024-04-26 19_14_19
154,1,11,2024-04-26 19:14:53,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[320, -297]",45.99889411239985,92,433,1 2024-04-26 19_14_19
155,1,12,2024-04-26 19:14:56,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-129, 164]",27.65824748124708,95,655,1 2024-04-26 19_14_19
156,1,13,2024-04-26 19:14:58,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-130, -298]",15.830211061217224,97,570,1 2024-04-26 19_14_19
157,1,14,2024-04-26 19:15:01,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[104, -301]",12.512511100006233,97,501,1 2024-04-26 19_14_19
158,1,15,2024-04-26 19:15:03,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[85, -301]",11.72872260852722,98,236,1 2024-04-26 19_14_19
159,1,16,2024-04-26 19:15:07,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[320, -81]",10.655318554468057,98,571,1 2024-04-26 19_14_19
160,1,17,2024-04-26 19:15:10,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[325, -287]",51.274955893711095,91,482,1 2024-04-26 19_14_19
161,1,18,2024-04-26 19:15:16,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[92, 166]",2.4875558341025847,99,3827,1 2024-04-26 19_14_19
162,1,19,2024-04-26 19:15:19,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[102, -298]",9.189011591448711,98,714,1 2024-04-26 19_14_19
163,1,20,2024-04-26 19:15:23,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-141, 150]",103.04798895393228,82,739,1 2024-04-26 19_14_19
164,1,21,2024-04-26 19:15:26,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[325, -58]",38.3309893218468,93,630,1 2024-04-26 19_14_19
165,1,22,2024-04-26 19:15:29,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[318, -287]",16.496582946457583,97,634,1 2024-04-26 19_14_19
166,1,23,2024-04-26 19:15:32,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[320, 146]",9.721223514928266,98,599,1 2024-04-26 19_14_19
167,1,24,2024-04-26 19:15:35,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[310, -291]",7.587407692214605,98,753,1 2024-04-26 19_14_19
168,1,25,2024-04-26 19:15:38,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-139, 142]",94.98223153910908,84,401,1 2024-04-26 19_14_19
169,1,26,2024-04-26 19:15:40,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[96, 159]",8.711846380711203,98,535,1 2024-04-26 19_14_19
170,1,27,2024-04-26 19:15:44,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[319, 151]",104.09307810334468,82,385,1 2024-04-26 19_14_19
171,1,28,2024-04-26 19:15:46,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-130, -66]",31.0118342728959,94,441,1 2024-04-26 19_14_19
172,1,29,2024-04-26 19:15:49,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-126, -287]",40.38705463500902,93,420,1 2024-04-26 19_14_19
173,1,30,2024-04-26 19:15:52,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-126, -286]",13.443511527819368,97,718,1 2024-04-26 19_14_19
174,1,31,2024-04-26 19:15:56,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[317, 153]",17.325318065120292,97,844,1 2024-04-26 19_14_19
175,1,32,2024-04-26 19:15:59,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[318, 148]",12.44709313120253,97,533,1 2024-04-26 19_14_19
176,1,33,2024-04-26 19:16:02,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-132, -67]",6.231209208703942,98,879,1 2024-04-26 19_14_19
177,1,34,2024-04-26 19:16:05,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-135, -70]",1.9904251290433592,99,551,1 2024-04-26 19_14_19
178,1,35,2024-04-26 19:16:08,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[324, -86]",10.338560735484547,98,453,1 2024-04-26 19_14_19
179,1,36,2024-04-26 19:16:14,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[84, 159]",452.589655501936,60,2909,1 2024-04-26 19_14_19
180,1,37,2024-04-26 19:16:18,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[100, -297]",6.956742582639658,98,1562,1 2024-04-26 19_14_19
181,1,38,2024-04-26 19:16:22,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[322, -64]",7.739669084933803,98,1616,1 2024-04-26 19_14_19
182,1,39,2024-04-26 19:16:25,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[312, -285]",12.490097898331824,97,837,1 2024-04-26 19_14_19
183,1,40,2024-04-26 19:16:28,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-135, -77]",19.383969756330924,96,701,1 2024-04-26 19_14_19
184,1,41,2024-04-26 19:16:31,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-137, -79]",17.335276581550684,97,1363,1 2024-04-26 19_14_19
185,1,42,2024-04-26 19:16:35,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-116, -291]",29.96667867395468,95,1001,1 2024-04-26 19_14_19
186,1,43,2024-04-26 19:16:38,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-109, -290]",23.12714533777373,96,669,1 2024-04-26 19_14_19
187,1,44,2024-04-26 19:16:41,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-129, 119]",72.3364640539314,87,680,1 2024-04-26 19_14_19
188,1,45,2024-04-26 19:16:45,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[103, -287]",11.089616796555449,98,636,1 2024-04-26 19_14_19
189,1,46,2024-04-26 19:16:48,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[88, -297]",6.956742582639584,98,517,1 2024-04-26 19_14_19
190,1,47,2024-04-26 19:16:51,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-144, -64]",10.503292065392955,98,1295,1 2024-04-26 19_14_19
191,1,48,2024-04-26 19:16:54,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-135, 146]",8.753695598271314,98,870,1 2024-04-26 19_14_19
192,2,1,2024-04-20 10:57:54,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[320, 169]",122.03100607682684,79,530,2 2024-04-20 10_57_51
193,2,2,2024-04-20 10:57:56,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[324, -62]",9.34415654566104,98,503,2 2024-04-20 10_57_51
194,2,3,2024-04-20 10:57:59,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[90, -301]",8.518387994672349,98,537,2 2024-04-20 10_57_51
195,2,4,2024-04-20 10:58:01,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[334, -299]",31.65608265540204,94,409,2 2024-04-20 10_57_51
196,2,5,2024-04-20 10:58:04,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[325, 172]",124.94985963254896,79,416,2 2024-04-20 10_57_51
197,2,6,2024-04-20 10:58:09,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[88, 168]",461.5181700294812,60,1312,2 2024-04-20 10_57_51
198,2,7,2024-04-20 10:58:11,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-144, -53]",43.97534440775038,92,341,2 2024-04-20 10_57_51
199,2,8,2024-04-20 10:58:14,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[93, 177]",470.48022941177993,60,614,2 2024-04-20 10_57_51
200,2,9,2024-04-20 10:58:18,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[318, 169]",32.28464814285572,94,923,2 2024-04-20 10_57_51
201,2,10,2024-04-20 10:58:20,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[315, -296]",12.429262402745447,97,751,2 2024-04-20 10_57_51
202,2,11,2024-04-20 10:58:24,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[102, -293]",8.014337196203133,98,450,2 2024-04-20 10_57_51
203,2,12,2024-04-20 10:58:27,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[325, -58]",38.3309893218468,93,474,2 2024-04-20 10_57_51
204,2,13,2024-04-20 10:58:30,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-141, -267]",37.22989068876258,93,849,2 2024-04-20 10_57_51
205,2,14,2024-04-20 10:58:33,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[96, 170]",3.217856537268937,99,704,2 2024-04-20 10_57_51
206,2,15,2024-04-20 10:58:36,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[94, -295]",1.5208333333333712,99,521,2 2024-04-20 10_57_51
207,2,16,2024-04-20 10:58:40,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-141, 137]",90.06231120869913,85,573,2 2024-04-20 10_57_51
208,2,17,2024-04-20 10:58:43,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[315, -279]",43.35330149549007,92,472,2 2024-04-20 10_57_51
209,2,18,2024-04-20 10:58:45,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-144, 139]",7.694980649540667,98,878,2 2024-04-20 10_57_51
210,2,19,2024-04-20 10:58:48,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-142, -67]",7.017452163663367,98,417,2 2024-04-20 10_57_51
211,2,20,2024-04-20 10:58:51,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-140, 145]",8.40118342253303,98,683,2 2024-04-20 10_57_51
212,2,21,2024-04-20 10:58:54,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[327, -70]",26.447859262933,95,426,2 2024-04-20 10_57_51
213,2,22,2024-04-20 10:58:56,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[325, -55]",16.340165408257334,97,301,2 2024-04-20 10_57_51
214,2,23,2024-04-20 10:58:59,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[332, -58]",15.306910080991754,97,354,2 2024-04-20 10_57_51
215,2,24,2024-04-20 10:59:02,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-142, 143]",7.883650303597235,98,516,2 2024-04-20 10_57_51
216,2,25,2024-04-20 10:59:06,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[320, -61]",35.610275273086,94,1285,2 2024-04-20 10_57_51
217,2,26,2024-04-20 10:59:08,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[100, 169]",6.189744261904335,98,587,2 2024-04-20 10_57_51
218,2,27,2024-04-20 10:59:11,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-142, -271]",35.264334991247104,94,668,2 2024-04-20 10_57_51
219,2,28,2024-04-20 10:59:13,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-145, 145]",98.31870093164746,83,358,2 2024-04-20 10_57_51
220,2,29,2024-04-20 10:59:16,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[327, -266]",36.59698490324738,93,586,2 2024-04-20 10_57_51
221,2,30,2024-04-20 10:59:19,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[322, -296]",47.93028683931562,92,450,2 2024-04-20 10_57_51
222,2,31,2024-04-20 10:59:22,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-142, -260]",65.12784052083191,89,404,2 2024-04-20 10_57_51
223,2,32,2024-04-20 10:59:24,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[329, 152]",15.310486896114709,97,1010,2 2024-04-20 10_57_51
224,2,33,2024-04-20 10:59:28,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-139, -265]",60.04715013085386,90,1098,2 2024-04-20 10_57_51
225,2,34,2024-04-20 10:59:31,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-137, -255]",63.7792111002376,89,651,2 2024-04-20 10_57_51
226,2,35,2024-04-20 10:59:34,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-134, -62]",34.416858325737394,94,189,2 2024-04-20 10_57_51
227,2,36,2024-04-20 10:59:37,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[329, -268]",60.491660933051584,89,325,2 2024-04-20 10_57_51
228,2,37,2024-04-20 10:59:40,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[319, 165]",28.16589469782076,95,619,2 2024-04-20 10_57_51
229,2,38,2024-04-20 10:59:43,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[98, 176]",469.4962065171856,60,453,2 2024-04-20 10_57_51
230,2,39,2024-04-20 10:59:45,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[93, 170]",2.7119367054642924,99,605,2 2024-04-20 10_57_51
231,2,40,2024-04-20 10:59:48,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[98, -297]",5.3288148176786665,99,190,2 2024-04-20 10_57_51
232,2,41,2024-04-20 10:59:50,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-144, 144]",97.2400521286066,83,255,2 2024-04-20 10_57_51
233,2,42,2024-04-20 10:59:53,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-144, -53]",43.97534440775038,92,122,2 2024-04-20 10_57_51
234,2,43,2024-04-20 10:59:56,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[99, -292]",5.21420502356573,99,387,2 2024-04-20 10_57_51
235,2,44,2024-04-20 10:59:59,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[93, -294]",1.1275049273112137,99,816,2 2024-04-20 10_57_51
236,2,45,2024-04-20 11:00:02,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-141, -252]",49.045282756828,91,520,2 2024-04-20 10_57_51
237,2,46,2024-04-20 11:00:05,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[317, 174]",127.1689002286024,78,652,2 2024-04-20 10_57_51
238,2,47,2024-04-20 11:00:08,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-135, -63]",8.462143318749078,98,423,2 2024-04-20 10_57_51
